player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Quincy Pondexter,MEM,25.0,198.12,102.0582,117,0,2010,1,26,59,6.4,2.2,1.0,1.6,0.04,0.086,0.138,0.565,0.076,2012
Dell Curry,TOR,38.0,195.58,92.98636,107,0,1986,1,15,56,6.4,1.4,1.1,-0.6,0.0289999999999999,0.081,0.209,0.495,0.12,2001
Hakim Warrick,PHX,29.0,205.74,99.336648,8,0,2005,1,19,35,6.4,2.6,0.9,-12.4,0.068,0.142,0.237,0.503,0.111,2011
Kelan Martin,MIN,24.0,195.58,104.32616,225,0,0,8,0,31,6.4,3.1,0.7,-1.7,0.021,0.154,0.171,0.506,0.071,2019
Damien Wilkins,PHI,33.0,198.12,102.0582,19,0,0,8,0,61,6.4,1.7,1.5,-4.0,0.032,0.08,0.175,0.5329999999999999,0.134,2012
Mike Batiste,MEM,25.0,203.2,102.0582,49,0,0,8,0,75,6.4,3.4,0.7,-6.2,0.077,0.165,0.211,0.476,0.074,2002
PJ Tucker,PHX,28.0,198.12,101.604608,97,0,2006,2,35,79,6.4,4.4,1.4,-4.8,0.077,0.131,0.127,0.525,0.085,2012
Luke Ridnour,SEA,27.0,187.96,79.3786,139,0,2003,1,14,61,6.4,1.5,4.0,-6.3,0.012,0.072,0.174,0.482,0.296,2007
Isaac Okoro,CLE,22.0,195.58,102.0582,81,0,2020,1,5,76,6.4,2.5,1.1,5.4,0.033,0.085,0.1169999999999999,0.614,0.07,2022
Steven Hunter,PHI,25.0,213.36,108.86208,74,0,2001,1,15,70,6.4,4.8,0.4,-7.4,0.086,0.159,0.134,0.573,0.0279999999999999,2006
Michael Doleac,ORL,24.0,210.82,118.841104,42,0,1998,1,12,77,6.4,3.5,0.8,3.4,0.055,0.171,0.196,0.4429999999999999,0.077,2000
Trey Lyles,SAS,24.0,205.74,106.140528,43,5,2015,1,12,63,6.4,5.7,1.1,-2.4,0.0559999999999999,0.228,0.136,0.557,0.072,2019
Joey Graham,TOR,25.0,200.66,102.0582,21,0,2005,1,16,79,6.4,3.1,0.6,2.7,0.05,0.173,0.173,0.564,0.053,2006
James Jones,PHX,26.0,203.2,99.79024,136,0,2003,2,49,76,6.4,2.3,0.6,7.5,0.0279999999999999,0.1169999999999999,0.1669999999999999,0.51,0.048,2006
Robin Lopez,PHX,23.0,213.36,115.66596,59,0,2008,1,15,67,6.4,3.2,0.1,-2.0,0.094,0.151,0.201,0.539,0.012,2010
Boris Diaw,SAS,30.0,203.2,106.59412,0,1,2003,1,21,57,6.4,4.9,3.6,-5.9,0.054,0.1669999999999999,0.154,0.498,0.2239999999999999,2011
Timothe Luwawu-Cabarrot,BKN,26.0,200.66,99.79024,0,1,2016,1,24,58,6.4,2.2,1.2,-0.4,0.026,0.092,0.165,0.493,0.088,2020
Samuel Dalembert,PHI,29.0,210.82,113.398,77,33,2001,1,26,82,6.4,8.5,0.2,1.2,0.127,0.29,0.1369999999999999,0.535,0.013,2008
Devean George,DAL,29.0,203.2,106.59412,116,0,1999,1,23,60,6.4,3.6,0.6,3.8,0.053,0.148,0.161,0.487,0.043,2006
Mario Chalmers,MIA,25.0,187.96,86.18248,35,0,2008,2,34,70,6.4,2.1,2.5,8.8,0.009,0.094,0.15,0.5379999999999999,0.172,2010
Keyon Dooling,LAC,23.0,190.5,88.904032,76,0,2000,1,10,55,6.4,1.3,1.6,-6.1,0.011,0.074,0.1989999999999999,0.494,0.168,2002
Raja Bell,UTA,35.0,195.58,95.25432,150,27,0,8,0,34,6.4,1.4,1.1,-1.7,0.009,0.066,0.121,0.586,0.069,2011
Kira Lewis Jr.,NOP,20.0,185.42,77.11064,10,0,2020,1,13,54,6.4,1.3,2.3,0.8,0.012,0.064,0.176,0.477,0.191,2020
Brad Miller,HOU,35.0,213.36,118.38751200000002,33,0,0,8,0,60,6.4,3.7,2.4,0.0,0.049,0.1969999999999999,0.17,0.5660000000000001,0.22,2010
Sterling Brown,MIL,24.0,198.12,105.233344,166,0,2017,2,46,58,6.4,3.2,1.4,0.2,0.026,0.13,0.149,0.563,0.115,2018
Cory Joseph,SAC,28.0,190.5,90.7184,283,5,2011,1,29,72,6.4,2.6,3.5,-0.3,0.024,0.0819999999999999,0.127,0.517,0.1989999999999999,2019
Ricky Davis,LAC,29.0,200.66,88.45044,57,0,1998,1,21,36,6.4,1.7,2.3,-14.8,0.013,0.077,0.174,0.445,0.1689999999999999,2008
Eric Williams,BOS,29.0,203.2,99.79024,17,0,1995,1,14,74,6.4,3.0,1.5,5.4,0.036,0.105,0.149,0.49,0.099,2001
Kevon Looney,GSW,23.0,205.74,99.79024,3,0,2015,1,30,80,6.3,5.2,1.5,10.3,0.126,0.133,0.122,0.636,0.106,2018
Derrick Walton Jr.,DET,27.0,182.88,83.91452,18,0,0,8,0,3,6.3,3.3,7.0,0.5,0.015,0.068,0.142,0.342,0.2689999999999999,2021
Chris Mihm,BOS,24.0,213.36,120.20188,97,0,2000,1,7,76,6.3,5.4,0.3,-2.5,0.136,0.214,0.184,0.531,0.0289999999999999,2003
Devin Harris,DAL,36.0,190.5,83.91452,54,0,2004,1,5,68,6.3,1.6,1.8,-4.2,0.01,0.09,0.18,0.527,0.172,2018
Jonas Jerebko,GSW,32.0,208.28,104.779752,0,57,2009,2,39,73,6.3,3.9,1.3,1.5,0.055,0.168,0.144,0.588,0.106,2018
Omri Casspi,MEM,31.0,205.74,102.0582,0,55,2009,1,23,36,6.3,3.2,0.7,1.1,0.033,0.184,0.17,0.606,0.077,2018
Kurt Thomas,SAS,35.0,205.74,106.59412,73,0,1995,1,10,70,6.3,7.2,1.0,-1.9,0.093,0.261,0.138,0.514,0.065,2007
Brian Scalabrine,NJN,27.0,205.74,106.59412,146,0,2001,2,34,54,6.3,4.5,1.6,-1.0,0.084,0.17,0.17,0.4679999999999999,0.132,2004
Trevor Booker,IND,30.0,203.2,103.418976,30,0,2010,1,23,68,6.3,4.7,1.2,-0.7,0.0969999999999999,0.172,0.159,0.557,0.106,2017
Cherokee Parks,LAC,30.0,210.82,108.86208,32,0,1995,1,12,30,6.3,4.4,0.7,-15.3,0.0819999999999999,0.165,0.141,0.523,0.055,2002
T.J. McConnell,PHI,26.0,187.96,86.18248,13,0,0,8,0,76,6.3,3.0,4.0,-1.4,0.021,0.1,0.134,0.545,0.258,2017
Jahlil Okafor,BKN,22.0,210.82,117.93392,32,0,2015,1,3,28,6.3,3.0,0.4,-22.6,0.0579999999999999,0.19,0.216,0.584,0.07,2017
