Team,win_percentage,season,Player 1 age,Player 1 player_height,Player 1 player_weight,Player 1 college,Player 1 country,Player 1 draft_year,Player 1 draft_round,Player 1 draft_number,Player 1 gp,Player 1 pts,Player 1 reb,Player 1 ast,Player 1 net_rating,Player 1 oreb_pct,Player 1 dreb_pct,Player 1 usg_pct,Player 1 ts_pct,Player 1 ast_pct,Player 2 age,Player 2 player_height,Player 2 player_weight,Player 2 college,Player 2 country,Player 2 draft_year,Player 2 draft_round,Player 2 draft_number,Player 2 gp,Player 2 pts,Player 2 reb,Player 2 ast,Player 2 net_rating,Player 2 oreb_pct,Player 2 dreb_pct,Player 2 usg_pct,Player 2 ts_pct,Player 2 ast_pct,Player 3 age,Player 3 player_height,Player 3 player_weight,Player 3 college,Player 3 country,Player 3 draft_year,Player 3 draft_round,Player 3 draft_number,Player 3 gp,Player 3 pts,Player 3 reb,Player 3 ast,Player 3 net_rating,Player 3 oreb_pct,Player 3 dreb_pct,Player 3 usg_pct,Player 3 ts_pct,Player 3 ast_pct,Player 4 age,Player 4 player_height,Player 4 player_weight,Player 4 college,Player 4 country,Player 4 draft_year,Player 4 draft_round,Player 4 draft_number,Player 4 gp,Player 4 pts,Player 4 reb,Player 4 ast,Player 4 net_rating,Player 4 oreb_pct,Player 4 dreb_pct,Player 4 usg_pct,Player 4 ts_pct,Player 4 ast_pct,Player 5 age,Player 5 player_height,Player 5 player_weight,Player 5 college,Player 5 country,Player 5 draft_year,Player 5 draft_round,Player 5 draft_number,Player 5 gp,Player 5 pts,Player 5 reb,Player 5 ast,Player 5 net_rating,Player 5 oreb_pct,Player 5 dreb_pct,Player 5 usg_pct,Player 5 ts_pct,Player 5 ast_pct
ATL,0.354,2018,21.0,208.28,106.59412,62,0,2017,1,19,61,19.5,9.8,2.0,-1.4,0.1119999999999999,0.196,0.23,0.627,0.102,20.0,187.96,81.64656,69,0,2018,1,5,81,19.1,3.7,8.1,-6.3,0.024,0.091,0.2769999999999999,0.539,0.39,25.0,203.2,99.79024,91,0,2016,1,12,55,13.5,3.6,2.1,-6.9,0.013,0.11,0.19,0.575,0.107,29.0,195.58,91.171992,92,0,0,8,0,67,11.6,3.9,2.3,-7.7,0.02,0.126,0.215,0.507,0.144,26.0,215.9,113.398,26,21,2013,1,5,77,11.1,5.5,1.1,-4.4,0.09,0.159,0.214,0.575,0.086
CHI,0.268,2018,24.0,195.58,90.7184,3,0,2014,1,13,63,23.7,4.7,4.5,-6.5,0.018,0.113,0.298,0.574,0.2239999999999999,26.0,205.74,97.52228,258,0,0,8,0,4,20.0,8.0,1.0,-2.3,0.037,0.196,0.2339999999999999,0.633,0.052,22.0,213.36,108.86208,13,7,2017,1,7,52,18.7,9.0,1.4,-5.5,0.043,0.2339999999999999,0.245,0.5529999999999999,0.07,26.0,190.5,81.64656,0,0,0,8,0,6,14.3,4.5,5.0,-7.8,0.021,0.136,0.253,0.4679999999999999,0.283,26.0,203.2,89.811216,6,0,2013,1,3,56,13.9,5.6,2.1,-0.4,0.031,0.153,0.185,0.569,0.1
CLE,0.232,2018,30.0,208.28,113.851592,3,0,2008,1,5,22,17.0,10.9,2.2,-4.2,0.051,0.344,0.259,0.561,0.125,27.0,195.58,87.996848,76,0,2014,2,46,81,16.8,3.3,2.4,-8.0,0.035,0.087,0.266,0.539,0.153,20.0,187.96,86.18248,10,0,2018,1,8,82,16.7,2.9,3.0,-12.5,0.021,0.072,0.247,0.52,0.154,24.0,203.2,97.52228,0,4,2015,2,31,76,13.0,4.7,2.6,-12.8,0.018,0.134,0.182,0.536,0.12,28.0,208.28,107.954896,97,5,2011,1,4,43,10.9,10.2,2.0,-12.3,0.1369999999999999,0.237,0.175,0.551,0.11
PHX,0.232,2018,22.0,198.12,95.25432,43,0,2015,1,13,64,26.6,4.1,6.8,-6.9,0.017,0.099,0.32,0.584,0.327,25.0,203.2,97.52228,126,0,2014,1,14,43,18.0,4.0,1.5,-7.7,0.022,0.108,0.221,0.58,0.073,20.0,215.9,113.398,13,66,2018,1,1,71,16.3,10.3,1.8,-8.1,0.1009999999999999,0.24,0.21,0.608,0.094,23.0,200.66,92.98636,35,0,2015,1,15,69,15.2,4.7,1.2,-6.0,0.035,0.126,0.223,0.551,0.067,22.0,203.2,90.7184,35,0,2017,1,4,79,11.5,4.4,2.3,-9.6,0.032,0.136,0.2339999999999999,0.487,0.142
NYK,0.207,2018,23.0,195.58,90.7184,0,43,2015,1,7,59,14.8,3.3,3.9,-10.8,0.019,0.098,0.248,0.531,0.242,21.0,190.5,88.45044,126,0,2017,1,9,53,13.6,2.9,4.8,-5.3,0.02,0.075,0.242,0.502,0.278,19.0,205.74,97.52228,43,0,2018,1,9,75,12.8,4.5,1.1,-13.6,0.025,0.12,0.2189999999999999,0.475,0.06,30.0,210.82,120.20188,200,0,2008,2,35,69,11.0,13.1,2.3,-5.1,0.105,0.315,0.148,0.674,0.119,23.0,195.58,90.7184,13,0,0,8,0,64,10.9,3.1,1.9,-7.2,0.02,0.107,0.207,0.564,0.131
HOU,0.793,2017,28.0,195.58,99.79024,49,0,2009,1,3,72,30.4,5.4,8.8,10.0,0.017,0.1369999999999999,0.353,0.619,0.449,33.0,182.88,79.3786,62,0,2005,1,4,58,18.6,5.4,7.9,13.2,0.02,0.151,0.241,0.604,0.389,29.0,193.04,97.52228,95,0,2008,1,7,69,18.0,2.5,2.2,13.0,0.011,0.065,0.238,0.578,0.113,24.0,208.28,108.86208,0,51,2014,1,25,74,13.9,10.8,0.9,9.3,0.119,0.278,0.19,0.65,0.055,32.0,200.66,92.98636,0,0,2005,1,18,41,12.1,3.2,0.6,4.6,0.016,0.124,0.2189999999999999,0.5660000000000001,0.045
TOR,0.72,2017,28.0,200.66,99.79024,251,0,2009,1,9,80,23.0,3.9,5.2,7.7,0.021,0.091,0.286,0.555,0.245,32.0,182.88,92.98636,104,0,2006,1,24,78,16.2,5.6,6.9,7.6,0.026,0.142,0.211,0.598,0.307,26.0,213.36,115.66596,0,12,2011,1,5,77,12.7,8.6,1.1,5.6,0.106,0.263,0.222,0.628,0.075,28.0,208.28,106.59412,0,43,2008,1,24,76,12.6,6.3,0.8,6.8,0.037,0.183,0.1889999999999999,0.574,0.044,31.0,198.12,102.0582,0,0,2005,2,34,70,10.0,2.2,0.8,8.0,0.013,0.0969999999999999,0.214,0.545,0.061
GSW,0.707,2017,30.0,190.5,86.18248,174,0,2009,1,7,51,26.4,5.1,6.1,13.0,0.024,0.124,0.29,0.675,0.272,29.0,205.74,108.86208,97,0,2007,1,2,68,26.4,6.8,5.4,7.0,0.015,0.1689999999999999,0.293,0.64,0.243,28.0,200.66,97.52228,161,0,2011,1,11,73,20.0,3.8,2.5,7.1,0.0139999999999999,0.089,0.2319999999999999,0.599,0.108,28.0,200.66,104.32616,11,0,2012,2,35,70,11.0,7.6,7.3,6.7,0.036,0.183,0.168,0.556,0.286,25.0,187.96,81.19296800000001,32,0,0,8,0,33,9.5,2.5,2.7,-2.2,0.0139999999999999,0.094,0.176,0.593,0.179
BOS,0.671,2017,26.0,190.5,87.543256,32,47,2011,1,1,60,24.4,3.8,5.1,5.6,0.017,0.096,0.298,0.61,0.282,21.0,200.66,102.0582,7,0,2016,1,3,70,14.5,4.9,1.6,7.7,0.03,0.124,0.208,0.562,0.081,20.0,203.2,92.98636,32,0,2017,1,3,80,13.9,5.0,1.6,6.9,0.021,0.138,0.192,0.586,0.081,28.0,205.74,106.59412,35,0,2011,1,14,54,13.6,5.4,1.3,0.7,0.0289999999999999,0.166,0.222,0.541,0.0819999999999999,32.0,208.28,111.13004,2,8,2007,1,3,72,12.9,7.4,4.7,7.3,0.047,0.178,0.183,0.575,0.225
PHI,0.634,2017,24.0,213.36,113.398,35,53,2014,1,3,63,22.9,11.0,3.2,11.7,0.078,0.255,0.33,0.573,0.182,34.0,193.04,90.7184,32,0,2006,1,11,70,17.1,2.5,3.0,7.0,0.004,0.071,0.206,0.614,0.149,21.0,208.28,104.32616,46,47,2016,1,1,81,15.8,8.1,8.2,6.6,0.053,0.171,0.2189999999999999,0.557,0.362,24.0,208.28,101.151016,0,10,2014,1,12,78,14.6,6.7,2.6,5.9,0.067,0.147,0.204,0.5820000000000001,0.129,27.0,205.74,102.0582,96,0,0,8,0,80,12.6,5.4,2.0,9.9,0.022,0.1369999999999999,0.168,0.563,0.084
CLE,0.61,2017,33.0,203.2,113.398,0,0,2003,1,1,82,27.5,8.6,9.1,1.6,0.033,0.201,0.31,0.621,0.432,29.0,208.28,113.851592,3,0,2008,1,5,59,17.6,9.3,1.7,1.4,0.065,0.2739999999999999,0.248,0.614,0.099,25.0,203.2,93.439952,32,0,2014,1,23,60,14.7,2.8,1.6,-2.3,0.0139999999999999,0.091,0.24,0.546,0.0969999999999999,26.0,195.58,87.996848,76,0,2014,2,46,81,13.9,2.7,2.7,-1.9,0.0289999999999999,0.08,0.253,0.542,0.193,31.0,205.74,106.59412,6,0,2007,1,5,78,10.8,3.2,1.3,3.7,0.034,0.095,0.19,0.5870000000000001,0.081
POR,0.598,2017,27.0,190.5,88.45044,118,0,2012,1,6,73,26.9,4.5,6.6,6.1,0.022,0.094,0.295,0.594,0.301,26.0,190.5,86.18248,246,0,2013,1,10,81,21.4,4.0,3.4,1.6,0.017,0.089,0.259,0.536,0.156,23.0,213.36,127.00576,0,69,2014,1,16,79,14.3,9.0,1.8,3.6,0.087,0.237,0.257,0.528,0.115,27.0,205.74,99.79024,62,0,2010,1,8,69,9.3,7.6,1.2,5.2,0.045,0.198,0.145,0.522,0.0559999999999999,26.0,185.42,79.3786,45,0,2014,1,24,74,8.7,2.3,2.0,2.4,0.017,0.09,0.192,0.544,0.149
IND,0.585,2017,26.0,193.04,95.25432,95,0,2013,1,2,75,23.1,5.2,4.3,5.9,0.019,0.132,0.295,0.5770000000000001,0.209,29.0,203.2,104.32616,0,10,2011,2,31,80,14.3,3.4,1.5,1.5,0.012,0.0969999999999999,0.185,0.605,0.071,22.0,210.82,115.66596,97,0,2015,1,11,65,12.7,6.4,1.3,3.0,0.052,0.174,0.1989999999999999,0.5670000000000001,0.071,30.0,187.96,83.91452,3,0,2009,1,21,69,12.4,2.6,5.3,2.6,0.019,0.072,0.17,0.61,0.257,30.0,203.2,104.32616,9,0,2007,1,12,81,11.8,6.3,1.9,3.7,0.074,0.128,0.171,0.528,0.085
NOP,0.585,2017,25.0,208.28,114.758776,43,0,2012,1,1,75,28.1,11.1,2.3,5.0,0.07,0.213,0.291,0.612,0.104,27.0,210.82,122.46984,43,0,2010,1,5,48,25.2,12.9,5.4,1.9,0.065,0.292,0.318,0.583,0.241,28.0,193.04,92.98636,3,0,2009,1,17,81,19.0,4.5,6.0,4.9,0.022,0.095,0.225,0.57,0.243,27.0,208.28,107.954896,0,41,2011,1,23,55,15.6,7.4,1.5,4.2,0.038,0.213,0.223,0.5770000000000001,0.079,29.0,193.04,86.636072,33,0,2011,2,55,82,12.5,2.9,2.3,2.6,0.023,0.065,0.158,0.593,0.099
OKC,0.585,2017,29.0,190.5,90.7184,3,0,2008,1,4,80,25.4,10.1,10.3,6.6,0.048,0.226,0.326,0.524,0.4639999999999999,28.0,205.74,99.79024,98,0,2010,1,10,79,21.9,5.7,3.3,3.7,0.023,0.132,0.248,0.57,0.143,34.0,203.2,108.86208,8,0,2003,1,3,78,16.2,5.8,1.3,5.2,0.025,0.158,0.223,0.503,0.061,24.0,213.36,115.66596,70,32,2013,1,12,76,13.9,9.0,1.2,6.4,0.142,0.123,0.16,0.63,0.051,27.0,182.88,91.171992,148,0,2013,2,34,20,8.6,2.3,3.8,1.2,0.0139999999999999,0.094,0.193,0.539,0.276
UTA,0.585,2017,21.0,190.5,97.52228,41,0,2017,1,13,79,20.5,3.7,3.7,6.8,0.02,0.093,0.283,0.541,0.1889999999999999,26.0,215.9,111.13004,0,1,2013,1,27,56,13.5,10.7,1.4,9.4,0.093,0.2339999999999999,0.163,0.657,0.068,27.0,193.04,86.18248,0,29,2009,1,5,77,13.1,4.6,5.3,4.7,0.02,0.139,0.222,0.537,0.283,26.0,208.28,120.20188,9,0,2010,1,3,77,12.3,7.2,1.3,3.6,0.0969999999999999,0.1669999999999999,0.181,0.593,0.075,30.0,203.2,102.511792,0,47,0,8,0,82,11.5,4.2,4.8,5.3,0.01,0.125,0.156,0.623,0.222
MIN,0.573,2017,28.0,203.2,107.047712,27,0,2011,1,30,59,22.2,5.3,4.9,8.3,0.038,0.1119999999999999,0.245,0.59,0.204,22.0,213.36,112.490816,43,0,2015,1,1,82,21.3,12.3,2.4,6.1,0.085,0.272,0.225,0.6459999999999999,0.105,23.0,203.2,91.625584,35,5,2014,1,1,82,17.7,4.4,2.0,3.5,0.0279999999999999,0.094,0.228,0.505,0.08,30.0,187.96,85.728888,62,0,2009,1,19,70,14.2,3.0,7.0,2.7,0.011,0.081,0.201,0.5529999999999999,0.298,33.0,205.74,106.59412,251,0,2009,1,26,82,12.2,7.1,1.2,4.6,0.072,0.146,0.144,0.61,0.051
SAS,0.573,2017,32.0,210.82,117.93392,97,0,2006,1,2,75,23.1,8.5,2.0,5.4,0.098,0.156,0.288,0.57,0.111,27.0,200.66,104.32616,197,0,2011,1,15,9,16.2,4.7,2.3,3.9,0.0289999999999999,0.159,0.304,0.5720000000000001,0.191,31.0,203.2,104.32616,45,0,2006,1,8,57,11.5,5.1,1.3,2.5,0.06,0.175,0.237,0.545,0.0969999999999999,37.0,213.36,113.398,0,29,2001,1,3,77,10.1,8.0,3.1,1.0,0.069,0.256,0.201,0.539,0.208,29.0,182.88,83.91452,257,47,2009,2,55,82,10.0,1.9,2.8,2.6,0.012,0.061,0.172,0.5579999999999999,0.158
DEN,0.561,2017,23.0,208.28,113.398,0,31,2014,2,41,75,18.5,10.7,6.1,6.2,0.081,0.254,0.238,0.603,0.286,23.0,193.04,95.25432,11,0,2014,1,19,67,17.5,2.6,2.9,3.5,0.016,0.061,0.204,0.597,0.128,21.0,193.04,93.893544,43,5,2016,1,7,81,16.7,3.7,3.4,3.7,0.033,0.087,0.223,0.5760000000000001,0.159,27.0,198.12,86.18248,84,0,2012,2,40,81,15.7,5.0,4.1,2.1,0.026,0.126,0.201,0.562,0.185,33.0,203.2,111.583632,16,0,2006,2,47,38,14.6,6.4,2.8,3.9,0.0579999999999999,0.153,0.217,0.5489999999999999,0.139
MIA,0.537,2017,32.0,190.5,86.18248,0,24,2008,2,45,75,17.3,4.1,4.8,0.2,0.023,0.105,0.25,0.5429999999999999,0.245,26.0,193.04,97.52228,8,0,2012,1,4,30,14.3,2.6,3.8,-5.3,0.009,0.078,0.25,0.487,0.21,29.0,213.36,120.20188,173,0,2010,2,33,54,14.0,11.4,1.0,-2.8,0.121,0.317,0.235,0.573,0.068,24.0,198.12,90.7184,105,0,2015,2,40,81,12.9,3.5,2.9,0.8,0.025,0.08,0.176,0.551,0.131,26.0,193.04,86.18248,98,0,0,8,0,72,11.7,3.4,2.3,1.0,0.016,0.105,0.18,0.5489999999999999,0.123
MIL,0.537,2017,23.0,210.82,100.697424,0,6,2013,1,15,75,26.9,10.0,4.8,2.8,0.06,0.218,0.307,0.598,0.237,26.0,203.2,106.140528,200,0,2012,2,39,82,20.1,5.2,4.0,1.6,0.016,0.133,0.239,0.5770000000000001,0.172,28.0,185.42,92.98636,43,0,2010,1,18,74,17.7,3.8,5.0,2.7,0.023,0.1,0.254,0.5820000000000001,0.246,25.0,195.58,97.52228,22,0,2016,2,36,48,13.0,3.3,3.2,-2.1,0.017,0.0969999999999999,0.1889999999999999,0.578,0.165,23.0,203.2,113.398,32,0,2014,1,2,31,12.6,4.9,1.9,-3.9,0.055,0.145,0.228,0.55,0.129
WAS,0.524,2017,25.0,195.58,93.893544,2,0,2012,1,3,82,22.6,4.4,4.5,2.4,0.021,0.1009999999999999,0.268,0.564,0.206,27.0,193.04,95.25432,43,0,2010,1,1,41,19.4,3.7,9.6,3.8,0.016,0.088,0.281,0.515,0.425,25.0,203.2,89.811216,6,0,2013,1,3,77,14.7,6.4,2.0,5.1,0.044,0.161,0.182,0.602,0.096,22.0,200.66,92.98636,35,0,2015,1,15,81,11.8,4.5,1.2,-2.4,0.026,0.136,0.188,0.534,0.067,28.0,208.28,111.13004,35,0,2011,1,13,73,11.5,5.6,1.9,0.7,0.04,0.173,0.1939999999999999,0.5660000000000001,0.107
LAC,0.512,2017,31.0,185.42,79.3786,0,0,2005,2,45,79,22.6,2.5,5.3,1.6,0.015,0.059,0.285,0.574,0.254,25.0,205.74,106.59412,105,0,2011,1,19,80,18.6,5.5,2.4,-2.3,0.021,0.145,0.2269999999999999,0.565,0.115,29.0,208.28,102.0582,0,50,2008,1,6,21,15.3,4.8,2.0,0.3,0.013,0.133,0.205,0.545,0.0969999999999999,25.0,193.04,90.7184,32,0,2012,1,10,61,15.1,2.4,4.0,-1.7,0.013,0.0579999999999999,0.206,0.526,0.179,27.0,187.96,81.64656,97,0,2010,1,19,46,14.3,2.5,2.0,-4.2,0.0139999999999999,0.068,0.2289999999999999,0.496,0.105
DET,0.476,2017,29.0,208.28,113.851592,69,0,2009,1,1,58,21.4,7.4,5.8,1.9,0.036,0.175,0.285,0.544,0.286,24.0,210.82,126.552168,45,0,2012,1,9,78,15.0,16.0,3.0,-1.0,0.145,0.3289999999999999,0.207,0.555,0.14,28.0,190.5,94.347136,50,0,2011,1,24,45,14.6,2.8,5.3,0.4,0.023,0.084,0.265,0.516,0.331,27.0,200.66,92.98636,4,0,2013,1,25,62,11.3,2.5,1.5,0.6,0.015,0.072,0.153,0.615,0.081,29.0,182.88,79.3786,62,0,0,8,0,82,10.9,2.7,4.4,0.8,0.013,0.095,0.203,0.525,0.273
CHA,0.439,2017,28.0,185.42,83.46092800000001,45,0,2011,1,9,80,22.1,3.1,5.6,3.3,0.011,0.077,0.267,0.5720000000000001,0.264,32.0,210.82,120.20188,0,0,2004,1,1,81,16.6,12.5,1.3,1.4,0.1009999999999999,0.295,0.238,0.5770000000000001,0.069,26.0,195.58,83.91452,45,0,2012,1,12,80,12.9,4.1,2.3,1.3,0.024,0.14,0.22,0.5589999999999999,0.154,29.0,203.2,90.7184,0,1,2008,1,25,64,11.6,4.8,5.5,-0.4,0.0279999999999999,0.124,0.178,0.523,0.255,25.0,213.36,109.769264,54,0,2015,1,9,79,11.1,3.6,1.6,-2.3,0.023,0.139,0.2019999999999999,0.545,0.113
LAL,0.427,2017,20.0,205.74,86.18248,32,0,2016,1,2,59,16.1,5.3,3.9,-2.7,0.027,0.121,0.218,0.536,0.177,22.0,205.74,99.79024,42,0,2017,1,27,77,16.1,6.3,1.8,-2.2,0.035,0.154,0.2189999999999999,0.5489999999999999,0.091,23.0,205.74,113.398,43,0,2014,1,7,82,16.1,8.0,2.6,-1.4,0.0819999999999999,0.2019999999999999,0.251,0.606,0.158,29.0,175.26,83.91452,117,0,2011,2,60,32,15.2,2.1,4.8,-6.9,0.019,0.0559999999999999,0.276,0.508,0.268,25.0,195.58,92.98636,19,0,2013,1,8,74,13.4,5.2,2.2,-0.9,0.023,0.127,0.165,0.561,0.093
NYK,0.354,2017,22.0,220.98,108.86208,0,44,2015,1,4,48,22.7,6.6,1.2,0.4,0.039,0.154,0.305,0.539,0.063,26.0,198.12,92.98636,18,0,2013,1,24,57,17.5,3.9,2.7,-1.9,0.016,0.099,0.2289999999999999,0.5329999999999999,0.123,26.0,210.82,111.13004,267,4,2011,1,3,71,14.1,11.0,1.5,-4.9,0.146,0.2789999999999999,0.212,0.63,0.091,29.0,205.74,106.59412,65,0,2008,1,2,74,13.2,5.6,1.7,-4.0,0.057,0.191,0.261,0.556,0.122,25.0,185.42,86.636072,18,0,2013,1,9,36,12.8,2.0,4.7,-4.2,0.017,0.074,0.249,0.563,0.3289999999999999
BKN,0.341,2017,29.0,190.5,90.7184,227,0,0,8,0,1,18.0,0.0,4.0,-9.5,0.0,0.0,0.254,0.597,0.235,22.0,195.58,88.45044,15,0,2015,1,2,48,15.5,3.9,5.2,-7.2,0.023,0.122,0.295,0.509,0.348,23.0,200.66,97.068688,13,0,2015,1,23,68,13.9,6.8,2.5,-3.7,0.05,0.175,0.217,0.5479999999999999,0.143,31.0,203.2,97.52228,76,0,2009,1,27,73,13.5,6.6,2.0,-1.2,0.045,0.165,0.1939999999999999,0.55,0.106,26.0,198.12,97.52228,7,0,2013,2,31,75,13.2,4.3,1.6,-1.9,0.012,0.13,0.183,0.5579999999999999,0.0819999999999999
CHI,0.329,2017,23.0,195.58,83.91452,3,0,2014,1,13,24,16.7,3.9,3.0,-12.1,0.013,0.138,0.29,0.499,0.187,21.0,213.36,104.32616,13,7,2017,1,7,68,15.2,7.5,1.2,-9.0,0.037,0.217,0.215,0.552,0.064,24.0,193.04,95.25432,17,0,2016,1,5,52,13.4,4.3,6.0,-8.0,0.015,0.131,0.245,0.488,0.319,23.0,210.82,112.490816,128,0,2015,1,22,73,13.2,6.8,1.7,-2.1,0.089,0.207,0.25,0.5479999999999999,0.126,29.0,198.12,83.91452,117,0,0,8,0,72,12.2,4.0,2.1,-4.0,0.013,0.114,0.177,0.513,0.0969999999999999
SAC,0.329,2017,36.0,205.74,113.398,11,0,2001,1,19,59,14.5,6.7,2.2,-12.2,0.063,0.215,0.27,0.529,0.146,25.0,193.04,97.068688,69,66,2016,1,6,80,13.5,3.8,1.9,-4.1,0.027,0.129,0.236,0.557,0.127,24.0,213.36,108.86208,43,0,2015,1,6,73,12.8,7.0,2.4,-7.8,0.064,0.1969999999999999,0.215,0.529,0.135,25.0,198.12,92.98636,0,31,2014,1,27,78,11.8,2.9,3.3,-8.6,0.0139999999999999,0.094,0.192,0.556,0.183,20.0,190.5,79.3786,43,0,2017,1,5,73,11.6,2.8,4.4,-10.2,0.016,0.087,0.2269999999999999,0.478,0.24
ORL,0.305,2017,25.0,200.66,92.98636,0,1,2012,1,20,57,17.8,3.2,2.9,-3.2,0.012,0.084,0.226,0.5770000000000001,0.138,22.0,205.74,99.79024,13,0,2014,1,4,58,17.6,7.9,2.3,-2.0,0.044,0.191,0.238,0.53,0.111,27.0,213.36,117.93392,251,41,2011,1,16,57,16.5,9.2,3.4,-1.3,0.059,0.249,0.252,0.5329999999999999,0.184,28.0,198.12,88.45044,44,0,0,8,0,69,13.9,3.5,2.5,-6.9,0.03,0.087,0.215,0.555,0.131,30.0,182.88,83.007336,97,0,2008,1,9,75,10.2,2.1,3.8,-3.8,0.016,0.072,0.182,0.615,0.251
ATL,0.293,2017,24.0,185.42,78.017824,0,13,2013,1,17,67,19.4,3.1,6.2,-6.7,0.021,0.081,0.299,0.515,0.352,24.0,203.2,99.79024,91,0,2016,1,12,82,14.1,4.7,2.6,-7.5,0.02,0.138,0.216,0.5489999999999999,0.135,28.0,195.58,91.171992,92,0,0,8,0,65,12.9,3.8,3.5,-4.5,0.0139999999999999,0.124,0.221,0.547,0.1989999999999999,25.0,198.12,95.25432,41,0,0,8,0,15,10.7,4.7,1.9,-3.6,0.024,0.138,0.182,0.489,0.109,20.0,208.28,106.59412,62,0,2017,1,19,74,10.5,7.3,1.3,-6.2,0.094,0.201,0.174,0.62,0.09
DAL,0.293,2017,26.0,203.2,102.0582,4,0,2012,1,7,77,18.9,6.1,2.0,-6.1,0.0279999999999999,0.154,0.247,0.539,0.1009999999999999,20.0,190.5,88.45044,126,0,2017,1,9,69,15.2,3.8,5.2,-7.6,0.023,0.106,0.28,0.473,0.301,31.0,195.58,99.79024,27,0,0,8,0,63,12.7,3.1,2.7,-7.2,0.013,0.085,0.173,0.541,0.125,40.0,213.36,111.13004,0,13,1998,1,9,77,12.0,5.7,1.6,-2.0,0.012,0.2269999999999999,0.1989999999999999,0.575,0.098,34.0,182.88,83.91452,207,16,0,8,0,69,11.6,2.9,6.3,0.7,0.009,0.12,0.243,0.545,0.426
MEM,0.268,2017,29.0,195.58,90.7184,17,0,2011,1,25,7,20.1,3.0,3.6,-0.4,0.039,0.077,0.271,0.629,0.205,28.0,198.12,99.79024,84,0,2009,1,4,52,19.4,5.1,5.2,0.1,0.027,0.1369999999999999,0.2769999999999999,0.561,0.304,33.0,215.9,115.66596,0,29,2007,2,48,73,17.2,8.1,4.2,-6.9,0.033,0.225,0.255,0.532,0.225,30.0,185.42,79.3786,15,0,2007,1,4,12,17.1,2.3,4.1,-2.6,0.0,0.07,0.26,0.52,0.2339999999999999,22.0,198.12,99.79024,139,5,2017,2,45,82,11.0,3.1,1.6,-5.0,0.021,0.092,0.184,0.531,0.092
PHX,0.256,2017,21.0,198.12,95.25432,43,0,2015,1,13,54,24.9,4.5,4.7,-9.3,0.013,0.1119999999999999,0.301,0.561,0.233,24.0,203.2,97.52228,126,0,2014,1,14,65,19.6,5.1,1.3,-9.0,0.055,0.093,0.243,0.541,0.069,21.0,203.2,90.7184,35,0,2017,1,4,77,13.1,4.6,1.5,-11.7,0.044,0.123,0.253,0.48,0.105,24.0,193.04,83.91452,278,0,2014,1,10,63,12.7,4.3,6.2,-11.7,0.033,0.1169999999999999,0.211,0.5379999999999999,0.3279999999999999,27.0,185.42,88.45044,261,0,0,8,0,36,9.3,2.5,3.5,-2.6,0.017,0.104,0.237,0.469,0.2789999999999999
GSW,0.817,2016,29.0,190.5,86.18248,174,0,2009,1,7,79,25.3,4.5,6.6,17.2,0.027,0.113,0.292,0.624,0.287,28.0,205.74,108.86208,97,0,2007,1,2,62,25.1,8.3,4.8,16.0,0.023,0.2319999999999999,0.276,0.6509999999999999,0.218,27.0,200.66,97.52228,161,0,2011,1,11,78,22.3,3.7,2.1,14.7,0.022,0.091,0.262,0.5920000000000001,0.09,27.0,200.66,104.32616,11,0,2012,2,35,76,10.2,7.9,7.0,15.9,0.046,0.205,0.16,0.522,0.272,33.0,198.12,97.52228,13,0,2004,1,9,76,7.6,4.0,3.4,13.4,0.03,0.131,0.113,0.624,0.1689999999999999
SAS,0.744,2016,26.0,200.66,104.32616,197,0,2011,1,15,74,25.5,5.8,3.5,8.6,0.038,0.16,0.312,0.61,0.182,31.0,210.82,117.93392,97,0,2006,1,2,72,17.3,7.3,1.9,6.1,0.084,0.171,0.249,0.532,0.1,36.0,213.36,113.398,0,29,2001,1,3,64,12.4,7.8,2.3,6.8,0.077,0.271,0.216,0.578,0.143,35.0,187.96,83.91452,0,1,2001,1,28,63,10.1,1.8,4.5,5.4,0.0069999999999999,0.072,0.207,0.514,0.276,28.0,182.88,83.91452,217,47,2009,2,55,80,9.5,1.8,3.5,12.0,0.015,0.074,0.1889999999999999,0.578,0.236
HOU,0.671,2016,27.0,195.58,99.79024,49,0,2009,1,3,81,29.1,8.1,11.2,6.3,0.035,0.212,0.341,0.613,0.505,30.0,185.42,79.3786,0,0,2005,2,45,81,17.5,2.5,3.0,-0.4,0.0139999999999999,0.096,0.283,0.593,0.193,28.0,193.04,97.52228,95,0,2008,1,7,75,16.2,2.7,2.5,6.2,0.0139999999999999,0.078,0.22,0.557,0.125,29.0,208.28,108.86208,7,0,2008,1,21,72,13.6,4.6,0.9,7.9,0.0579999999999999,0.115,0.179,0.583,0.046,23.0,208.28,108.86208,0,51,2014,1,25,65,12.6,8.1,1.0,7.8,0.127,0.25,0.201,0.638,0.066
