Team,win_percentage,season,Player 1 age,Player 1 player_height,Player 1 player_weight,Player 1 college,Player 1 country,Player 1 draft_year,Player 1 draft_round,Player 1 draft_number,Player 1 gp,Player 1 pts,Player 1 reb,Player 1 ast,Player 1 net_rating,Player 1 oreb_pct,Player 1 dreb_pct,Player 1 usg_pct,Player 1 ts_pct,Player 1 ast_pct,Player 2 age,Player 2 player_height,Player 2 player_weight,Player 2 college,Player 2 country,Player 2 draft_year,Player 2 draft_round,Player 2 draft_number,Player 2 gp,Player 2 pts,Player 2 reb,Player 2 ast,Player 2 net_rating,Player 2 oreb_pct,Player 2 dreb_pct,Player 2 usg_pct,Player 2 ts_pct,Player 2 ast_pct,Player 3 age,Player 3 player_height,Player 3 player_weight,Player 3 college,Player 3 country,Player 3 draft_year,Player 3 draft_round,Player 3 draft_number,Player 3 gp,Player 3 pts,Player 3 reb,Player 3 ast,Player 3 net_rating,Player 3 oreb_pct,Player 3 dreb_pct,Player 3 usg_pct,Player 3 ts_pct,Player 3 ast_pct,Player 4 age,Player 4 player_height,Player 4 player_weight,Player 4 college,Player 4 country,Player 4 draft_year,Player 4 draft_round,Player 4 draft_number,Player 4 gp,Player 4 pts,Player 4 reb,Player 4 ast,Player 4 net_rating,Player 4 oreb_pct,Player 4 dreb_pct,Player 4 usg_pct,Player 4 ts_pct,Player 4 ast_pct,Player 5 age,Player 5 player_height,Player 5 player_weight,Player 5 college,Player 5 country,Player 5 draft_year,Player 5 draft_round,Player 5 draft_number,Player 5 gp,Player 5 pts,Player 5 reb,Player 5 ast,Player 5 net_rating,Player 5 oreb_pct,Player 5 dreb_pct,Player 5 usg_pct,Player 5 ts_pct,Player 5 ast_pct
GSW,0.537,2022,35.0,187.96,83.91452,174,0,2009,1,7,56,29.4,6.1,6.3,5.8,0.02,0.147,0.297,0.6559999999999999,0.2739999999999999,33.0,198.12,99.79024,161,0,2011,1,11,69,21.9,4.1,2.4,2.9,0.017,0.1009999999999999,0.256,0.5760000000000001,0.105,24.0,193.04,87.996848,18,0,2019,1,28,82,20.4,2.7,4.5,-0.8,0.013,0.073,0.282,0.573,0.2339999999999999,28.0,200.66,89.357624,35,5,2014,1,1,37,17.1,5.0,2.3,5.2,0.05,0.1009999999999999,0.212,0.564,0.1,20.0,200.66,102.0582,0,76,2021,1,7,67,9.9,3.4,1.9,-1.4,0.052,0.113,0.195,0.597,0.132
LAC,0.537,2022,32.0,200.66,102.0582,197,0,2011,1,15,52,23.8,6.5,3.9,6.1,0.034,0.16,0.267,0.623,0.19,33.0,203.2,99.79024,98,0,2010,1,10,56,23.8,6.1,5.1,4.0,0.025,0.153,0.294,0.588,0.237,30.0,193.04,97.52228,3,0,2015,2,46,60,17.0,2.9,1.8,-3.8,0.015,0.093,0.251,0.612,0.115,34.0,190.5,90.7184,3,0,2008,1,4,73,15.9,5.8,7.5,-0.2,0.042,0.147,0.266,0.513,0.364,34.0,190.5,97.52228,95,0,2008,1,7,69,12.4,1.9,2.7,-5.8,0.008,0.059,0.171,0.5870000000000001,0.133
MIA,0.537,2022,33.0,200.66,104.32616,27,0,2011,1,30,64,22.9,5.9,5.3,1.2,0.068,0.121,0.248,0.647,0.264,25.0,205.74,115.66596,43,0,2017,1,14,75,20.4,9.2,3.2,1.8,0.073,0.206,0.251,0.5920000000000001,0.154,23.0,195.58,88.45044,43,0,2019,1,13,67,20.1,5.4,4.2,2.7,0.012,0.154,0.25,0.5660000000000001,0.19,27.0,195.58,97.52228,74,0,0,8,0,80,11.5,3.2,2.1,-3.8,0.021,0.0969999999999999,0.17,0.557,0.115,37.0,182.88,88.904032,104,0,2006,1,24,55,11.2,4.1,5.1,1.1,0.025,0.1119999999999999,0.162,0.565,0.233
LAL,0.524,2022,38.0,205.74,113.398,0,0,2003,1,1,55,28.9,8.3,6.8,4.6,0.033,0.191,0.322,0.583,0.308,30.0,208.28,114.758776,43,0,2012,1,1,56,25.9,12.5,2.6,4.8,0.102,0.248,0.2769999999999999,0.627,0.128,27.0,193.04,87.543256,15,0,2015,1,2,71,17.8,3.0,6.2,1.5,0.016,0.075,0.225,0.605,0.2739999999999999,25.0,195.58,89.357624,69,0,0,8,0,64,13.0,3.0,3.4,4.9,0.018,0.079,0.154,0.687,0.155,26.0,193.04,84.821704,36,0,2016,1,19,81,12.7,3.5,1.5,-2.2,0.016,0.1159999999999999,0.207,0.531,0.086
MIN,0.512,2022,21.0,193.04,102.0582,19,0,2020,1,1,79,24.6,5.8,4.4,1.9,0.017,0.139,0.292,0.564,0.192,27.0,213.36,112.490816,43,0,2015,1,1,29,20.8,8.1,4.8,1.8,0.05,0.181,0.25,0.618,0.225,31.0,215.9,117.026736,0,1,2013,1,27,70,13.4,11.6,1.2,0.4,0.111,0.26,0.161,0.675,0.0579999999999999,22.0,205.74,83.91452,117,0,2020,1,28,79,12.1,3.9,1.9,2.0,0.039,0.086,0.156,0.611,0.0819999999999999,35.0,185.42,79.3786,15,0,2007,1,4,67,11.9,2.7,6.7,1.3,0.016,0.075,0.161,0.583,0.295
NOP,0.512,2022,22.0,198.12,128.820128,32,0,2019,1,1,29,26.0,7.0,4.6,7.8,0.06,0.148,0.288,0.652,0.231,25.0,203.2,86.18248,32,0,2016,1,2,45,24.7,5.5,5.8,3.0,0.015,0.145,0.306,0.5820000000000001,0.2769999999999999,31.0,190.5,86.18248,246,0,2013,1,10,75,20.9,4.4,5.7,1.1,0.021,0.104,0.26,0.541,0.242,23.0,203.2,93.439952,22,0,2021,1,17,79,14.5,3.6,1.4,0.5,0.025,0.092,0.159,0.65,0.063,31.0,210.82,120.20188,0,12,2011,1,5,79,14.1,10.2,1.8,-0.7,0.115,0.293,0.2289999999999999,0.61,0.108
ATL,0.5,2022,24.0,185.42,74.389088,69,0,2018,1,5,73,26.2,3.0,10.2,1.3,0.021,0.062,0.313,0.573,0.414,26.0,195.58,81.64656,117,0,2016,1,29,74,20.5,5.3,6.1,-1.1,0.019,0.127,0.239,0.54,0.239,25.0,203.2,100.243832,22,0,2019,1,4,67,15.4,4.2,1.4,-0.6,0.021,0.1119999999999999,0.193,0.563,0.059,30.0,195.58,102.0582,0,31,2014,1,27,54,14.0,3.1,2.8,1.2,0.015,0.093,0.196,0.586,0.134,24.0,200.66,97.52228,104,0,2020,1,19,77,13.8,4.7,1.5,-3.1,0.044,0.127,0.1939999999999999,0.564,0.08
TOR,0.5,2022,29.0,203.2,104.32616,147,53,2016,1,27,71,24.2,7.8,5.8,2.4,0.047,0.177,0.27,0.565,0.244,29.0,182.88,89.357624,244,0,0,8,0,69,19.3,4.1,7.2,3.3,0.011,0.11,0.225,0.54,0.276,24.0,195.58,94.800728,32,0,2018,2,37,66,17.4,2.6,1.6,-2.1,0.013,0.073,0.209,0.56,0.075,25.0,200.66,105.233344,95,42,2017,1,23,67,16.8,5.0,2.0,3.0,0.037,0.11,0.192,0.586,0.08,21.0,203.2,102.0582,36,0,2021,1,4,77,15.3,6.6,4.8,3.2,0.063,0.135,0.2,0.524,0.195
CHI,0.488,2022,28.0,195.58,90.7184,3,0,2014,1,13,77,24.8,4.5,4.2,0.3,0.016,0.108,0.278,0.607,0.187,33.0,198.12,99.79024,146,0,2009,1,9,74,24.5,4.6,5.1,1.5,0.013,0.1159999999999999,0.272,0.5920000000000001,0.222,32.0,208.28,117.93392,146,41,2011,1,16,82,17.6,11.0,3.2,-0.5,0.062,0.2739999999999999,0.218,0.594,0.146,21.0,200.66,97.52228,36,0,2020,1,4,82,10.2,4.0,1.2,-2.4,0.036,0.107,0.156,0.5760000000000001,0.059,23.0,195.58,88.45044,4,0,2019,1,7,74,9.7,2.9,2.8,4.0,0.009,0.11,0.17,0.5720000000000001,0.159
OKC,0.488,2022,24.0,198.12,88.45044,43,5,2018,1,11,68,31.4,4.8,5.5,2.7,0.023,0.109,0.318,0.626,0.249,20.0,203.2,97.975872,0,47,2021,1,6,76,16.6,7.9,6.2,-2.2,0.0579999999999999,0.1889999999999999,0.239,0.5329999999999999,0.293,22.0,195.58,95.707912,141,0,2022,1,12,75,14.1,4.5,3.3,-1.0,0.035,0.109,0.18,0.601,0.152,24.0,193.04,99.79024,49,5,0,8,0,74,13.7,4.6,2.1,0.9,0.053,0.092,0.1939999999999999,0.513,0.09,23.0,190.5,74.84268,128,0,2020,2,49,73,9.5,2.4,1.2,5.1,0.018,0.108,0.17,0.626,0.087
